"","COD_VEREDA","P_S11P124_Fnatural","P_S11P125_No_protegen","P_S11P125_Prac_Cons_Rest","P_S6P70_No_Sist_Riego","Erosion_Moderada","Sin_evid_erosion","pend_mean","G_VPrecipitacionQuanCvW_sigma","G_VTmedQuanCvW_sigma","P_S6P71_Enfermedad","P_S6P71_Plaga","G_V_dviasTren_meanEstimate","G_VDist_Meanx","P_S6P76_Fertil_quimico","P_S6P76_Quemas","P_S6P71_Inundacion","LHFI00_MEAN","SCI_19_Mean","Bosq_Nat","P_S9P117_Si","P_S3P9_Si","P_S6P61_SP_Autoconsumo","P_S7P84A_Total_hembras","SCI_VeredasBST_MEAN","P_S7P83A_Total_machos","DIF_SCI","NDIF_SCI"
"1",5002010,0.919642857,0.058823529,0.857142857,0,0.6727,0,1.58885710362858,1.70206318531438,0.55894725184382,0,0,-0.302700785458414,-0.247157972687722,0.544,0,0,-0.135765465311286,1.32894811636413,-0.0565849681082704,0.018348624,0.324324324,0.073170732,-0.328067028489313,1.32853716893671,-0.34704355115914,0.000901883494199396,0.100723961687769
"2",5002017,0.721311475,0.008196721,0.795081967,0,0.4585,0,1.97555554557429,2.29552116832487,0.60287588738856,0,0,0.510001293505152,-0.585735292416163,0.462809917,0,0,0.418520995055309,0.554098551139881,-0.0659470936922835,0.301587302,0.576923077,0.013157895,-0.328067028489313,0.552097015735568,-0.34704355115914,0.00662965669057947,0.712894584026389
"3",5002021,0.621621622,0.014492754,0.68115942,0,0.4218,0,1.87354757995844,1.94419878298963,0.340596152855962,0,0,0.507417948549309,-0.158726351425553,0.456140351,0,0,-0.282390576854577,1.55803094892819,-0.067065279179391,0.029850746,0.506849315,0.01754386,-0.328067028489313,1.55722523812631,-0.34704355115914,0.0021753453529012,0.23682850211522
"4",5002022,0.76,0.278350515,0.546391753,0,0.2184,0.025,1.66036660783372,1.65929543199231,0.457646041895747,0,0,0.327918544277653,-0.131710496429076,0.627906977,0,0,0.313016426451417,0.455455227107237,-0.0400061582569774,0.042105263,0.525773196,0.045454545,-0.328067028489313,0.456108593337778,-0.34704355115914,-0.00244154724496948,-0.256613873832084
"5",5002026,0.934782609,0.019607843,0.833333333,0.055555556,0.89,0,1.00760457964616,1.31386442534675,0.193206658701193,0,0,0.480474331808917,-0.4361675357965,0.426086957,0,0,0.0347620605187804,0.907531632489145,-0.0421558858452892,0.173469388,0.591836735,0.151515152,0.895390147410625,0.902996103020472,-0.34704355115914,0.0151966220296398,1.62851123352648
"6",5002034,0.664,0.024590164,0.729508197,0,0.6833,0,1.50617754172833,1.74436219381849,0.374253308092548,0,0,0.102999745913565,0.0560358776565786,0.486486486,0,0,0.132687044034615,0.650115018063789,-0.0668406502171871,0.308943089,0.620967742,0.040540541,0.283661559460656,0.65582697329093,-0.34704355115914,-0.0198600811624905,-2.11826488250929
"7",5002044,1,0,0.8,0,0.9385,0,1.3298749330154,1.58178856643173,0.24484393433083,0,0,0.310347744923454,-0.398391364547081,0.5,0,0,0.111941676937674,2.14039882183183,-0.0699631042933527,0,1,0,-0.328067028489313,2.13891566165776,-0.34704355115914,0.00429421148150055,0.463287817476494
"8",5002051,0.259398496,0.523076923,0.146153846,0.470588235,0.3883,0,1.84808191873429,1.74913396266013,0.323642815451355,0,0,0.512671193522505,0.106089869915394,0.429223744,0,0,-0.0938017039793359,0.851734617363965,-0.0390712176061445,0.034351145,0.521582734,0.118773946,1.50711873536059,0.848692914743104,-0.34704355115914,0.0100926536438095,1.08301136891504
"9",5002063,0.823529412,0.0625,0.9375,0,0.435,0,1.46267949360777,1.48182089877686,-0.0717284168087232,0,0,0.212493731431138,-0.412731551549429,0.5625,0,0,-0.067619064241098,0.95743986025782,-0.072331317655636,0.066666667,0.5625,0,-0.328067028489313,0.971100130376602,-0.34704355115914,-0.0472294914518603,-5.04344162317938
"10",5030003,0.142857143,0.074074074,0.333333333,0,0.2826,0,1.50501936158188,0.548082030238288,-0.0141991797257218,0,0,0.463726110916034,-0.196159559060973,0.130434783,0,0,-0.360727278211235,1.96440871934503,-0.0728751118610091,0.03125,0.095744681,0.222222222,0.283661559460656,1.96738243910981,-0.34704355115914,-0.0109302955514003,-1.1638708750185
"11",5030018,0.019157088,0.047058824,0.17254902,0,0.1272,0,1.88779892567879,0.971439627814709,0.351731248099649,0,0,0.432935751033303,-0.611321063876053,0.109243697,0,0,-0.558544466363225,1.7532997055081,-0.0716427014318448,0.025,0.217630854,0.166666667,-0.328067028489313,1.75120335991361,0.59175516581136,0.00653338145430027,0.702604918341637
"12",5030019,0.096385542,0.054123711,0.644329897,0,0.5897,0,1.23979997070331,0.797781309263669,0.759286523859544,0,0,0.156463453706895,-0.619287234864728,0.403940887,0,0,-0.686738244253806,1.65600594582356,-0.0566728909961952,0.012820513,0.5,0.133333333,-0.328067028489313,1.6555015784965,-0.34704355115914,0.00110735398950013,0.122684154011719
"13",5036004,0.02,0.136363636,0.409090909,0.4,0.563,0.437,1.6277900265447,0.596326957694109,0.458930681610055,0,0,0.397303413230333,-0.309985568822297,0.282051282,0,0,-0.965102797495984,1.97908981350081,-0.0616627582114879,0.25,0.733333333,0.11627907,-0.328067028489313,1.97850431535088,-0.34704355115914,0.00127207163689924,0.140288779973898
